rank,F_oral,Cmax_MIC,AUC_MIC,dose,fitness,Cmax,AUC,Ctrough,fCT,logP,particle_size,surfactant,cosurfactant,oil,pe_conc,polymer,chitosan,enteric,dose_range
154,32.96739829576048,12.447002621313654,41.89725766940169,736.3740913783712,0.6087017970303216,12.447002621313654,41.89725766940169,0.20531690768873612,35.75883575883576,1.5212692629521798,50.000018523302224,49.999947743165755,30,20.000002062500734,50,29.999997648360154,1,1,701-1000mg
163,32.924913013706394,12.576043035323274,42.33161790244469,744.9683260970055,0.6085231429773162,12.576043035323274,42.33161790244469,0.2074454851522808,36.17463617463618,1.5015073736868647,50.00000000107247,49.99931111549238,30,20.000000140612354,50,30,1,1,701-1000mg
73,32.970531476259126,12.229674810208806,41.16829088143648,723.4929990307678,0.6083978372236983,12.229674810208806,41.16829088143648,0.20174564455028254,35.343035343035346,1.5000831066577054,50,49.99879136119928,29.52022668776385,20.000000029827202,50,29.999999999999996,1,1,701-1000mg
139,32.89442207762278,12.663331842819323,42.62543300716224,750.8343280815712,0.608384346850592,12.663331842819323,42.62543300716224,0.20888532041660723,36.38253638253639,1.5002411357660377,50.00000000287176,49.99995933075955,30,20,50,30,1,1,701-1000mg
190,32.864770066410706,12.746813626534603,42.90643688943583,756.4660289214825,0.6082453120652712,12.746813626534603,42.90643688943583,0.21026237583781757,36.38253638253639,1.5038345230746188,50.00000000000001,49.999984465071734,29.999999977510647,20.000000065528035,50,30,1,1,701-1000mg
180,32.88221906777258,12.608149792875777,42.44082672839724,747.8598815683353,0.608193460442531,12.608149792875777,42.44082672839724,0.20798111596100924,36.17463617463618,1.505403807779317,50.00000000000001,49.99998934828396,29.792990752066462,20.08195053759077,50,29.999999989884135,1,1,701-1000mg
16,32.84994179216677,12.786792828204108,43.04101101695945,759.1811861258662,0.6081724348788446,12.786792828204108,43.04101101695945,0.2109218552346352,36.590436590436596,1.5106637422914349,50.000000002931586,49.99961564596337,29.999999998194685,20.000000001071008,50,30,1,1,701-1000mg
31,32.79301166173581,12.945640135052935,43.57569750041103,769.9466277550013,0.6078962344381823,12.945640135052935,43.57569750041103,0.2135420779217021,36.7983367983368,1.5044431513785548,50.00000000000001,49.99993950078487,29.9999999999873,20.00000006430511,49.99999999999999,30,1,1,701-1000mg
108,32.77542067353381,12.992312960398788,43.73280056717182,773.1372394238444,0.6078059420743103,12.992312960398788,43.73280056717182,0.2143119592017665,37.00623700623701,1.5108732253597277,50,49.99995520250564,29.99999999999367,20.00000213525774,50,30,1,1,701-1000mg
150,34.01647154296458,7.948733748829788,26.75585636994735,455.7505165221073,0.6077782686194055,7.948733748829788,26.75585636994735,0.13111669092719352,25.987525987525988,1.508956514793271,55.034558381937295,49.99836447368527,30,20.000000006157553,49.999999999812886,30,1,1,401-700mg
109,32.71561822309684,13.149552320513854,44.26215216204772,783.9258198352978,0.6074921404182383,13.149552320513854,44.26215216204772,0.21690606938277332,37.42203742203743,1.501459053313254,50.0000024449287,49.98675581698867,30,20,50,29.99999970601469,1,1,701-1000mg
126,32.69409700625667,13.206731251197183,44.454619743352474,787.852879028546,0.6073782415562885,13.206731251197183,44.454619743352474,0.21784925412425551,37.42203742203743,1.5016356442387968,50.00013504732098,49.98675581698867,30,20,50,29.99999970601469,1,1,701-1000mg
14,32.66883472639492,13.252535550717251,44.608723360109266,791.1953532349293,0.6072128210676062,13.252535550717251,44.608723360109266,0.218604406243372,37.62993762993763,1.544499387035845,50,49.999949751727215,30,20.000000013660397,50,29.99999674572462,1,1,701-1000mg
113,34.14107231878866,7.898629334071631,26.587378310387784,451.22787445211986,0.607003788826791,7.898629334071631,26.587378310387784,0.13029113706939788,25.779625779625782,1.4817674555363067,50.00000001652384,49.99930652414149,29.947988815452653,20,49.99999999782258,29.999998656574668,1,1,401-700mg
133,32.622073632326575,13.400184031300011,45.10571949402484,801.1569935943826,0.6069929285682306,13.400184031300011,45.10571949402484,0.22103993010964315,37.83783783783784,1.501459053313254,50.00000224849704,49.999321170111834,30,20.00000000000032,49.99999999983058,30,1,1,701-1000mg
183,32.622073632326575,13.400184031300011,45.10571949402484,801.1569935943826,0.6069929285682306,13.400184031300011,45.10571949402484,0.22103993010964315,37.83783783783784,1.501459053313254,50.00000224849704,49.999321170111834,30,20.00000000000032,49.99999999983058,30,1,1,701-1000mg
29,32.600490718203694,13.443537803720599,45.25183208246248,804.2843126802444,0.6068548649964747,13.443537803720599,45.25183208246248,0.22175602540726358,38.04573804573805,1.5002169534904766,50,49.96837885264998,29.999999999999996,20,50,30,1,1,701-1000mg
66,32.557739406674216,13.564483523682908,45.65876330448472,812.5825249414022,0.6066276285345704,13.564483523682908,45.65876330448472,0.2237501146095282,38.25363825363826,1.5001864744285789,50.00000000111372,49.99879136119928,30,20.000000140612354,50,30,1,1,701-1000mg
86,32.52427935098684,13.591563130298008,45.74991250188327,815.0423251378287,0.6063537944617354,13.591563130298008,45.74991250188327,0.2241967890715012,38.25363825363826,1.5671366675499276,50,49.99915884167487,30,20.00000091335208,49.99999999989949,30,1,1,701-1000mg
30,32.50041700016993,13.706677723273573,46.13739149946013,822.5488144115042,0.6062892400369874,13.706677723273573,46.13739149946013,0.22609562323497,38.46153846153847,1.5119975617012922,50.00000000104026,49.999617683861686,30,20.000000022167338,50,30,1,1,701-1000mg
96,32.468551962112166,13.76911344462283,46.34783861657989,827.1116341757706,0.6060758186139661,13.76911344462283,46.34783861657989,0.22712703046758573,38.66943866943867,1.49970677590639,50,49.99946623267812,29.952684518410987,20.00000092253656,50,30,1,1,701-1000mg
192,32.4347468294261,13.813842180295842,46.49811541209411,830.6583129980992,0.6058183306286374,13.813842180295842,46.49811541209411,0.2278633466859294,38.66943866943867,1.5671366675499276,50,49.99915884167487,30,20.00000091335208,49.99999999989949,30,1,1,701-1000mg
174,32.39982154929997,13.95423466290056,46.97068294262934,840.0049273591676,0.6056767750748622,13.95423466290056,46.97068294262934,0.23017915671712166,39.08523908523909,1.5015228094175934,50,49.99930831983355,30,20.00000006607292,49.99999999999893,30,1,1,701-1000mg
145,32.37554223062961,13.961427523037532,46.99489539628451,841.0682008836475,0.6054561495963658,13.961427523037532,46.99489539628451,0.23029780986279122,39.08523908523909,1.5646346009450796,50,49.99915884167487,30,20.00000091335208,49.99999999999644,30,1,1,701-1000mg
102,32.35981659960442,14.04990749599776,47.292722731079294,846.8097375118874,0.6054238841485504,14.04990749599776,47.292722731079294,0.2317573080856567,39.2931392931393,1.5004503545485919,50,49.9993028353615,30,20,49.999999999999915,30,1,1,701-1000mg
