"molecule","mult","F96","Cmax_ss_MIC","AUC_ss_MIC","Cmin_ss"
"B",45.8634181301853,76.6143397697053,18.5049490928833,139.890174855517,2.31281584561736
"B",84.2242334106114,90.8325017022349,26.6961772012605,163.19961830476,1.72786457896932
"B",28.288321279266,60.6562793245377,13.1035108999883,113.891024717406,2.29918428597697
"B",110.602638319457,95.3358291544328,30.4618443069603,170.674113837606,1.39876714392565
"B",183.83629036916,99.0963027631649,37.5633592224806,177.170302117915,0.682710026664249
"B",190.290022415349,99.3516655790726,38.0456024276521,177.611439353415,0.634084672296637
"B",41.2132682446198,73.1409380640815,17.2275726124294,134.293555793082,2.33354406436712
"B",254.796751875298,99.8713815865104,41.5778235711376,178.901085828703,0.389720516172771
"B",212.031649544144,99.7565206746078,39.4255240782147,178.405354659507,0.521915494624847
"B",411.043892252104,100,43.987915407855,179.456193353474,0
"B",339.088784859429,100,43.987915407855,179.456193353474,0
"B",62.1285797797537,84.1732006367362,22.518588990246,152.236212206013,2.05941919889111
"B",102.372446075943,94.7635348741987,29.3810877879643,169.685480015655,1.5077415538452
"B",45.9283729211932,76.6603213626088,18.5218592605767,139.964264028373,2.31254144127345
"B",29.8503349285941,62.4926547840674,13.6158300197513,116.949807647637,2.32620533659738
"B",76.3020495711636,88.6705706616592,25.3399301207782,159.640366707304,1.83550323615046
"B",238.326017662095,99.8296043033682,40.7949878454479,178.720778175953,0.437802556906109
"B",185.729772774284,99.1721421634742,37.7065791167063,177.301314079369,0.668268935458538
"B",83.6779974634381,90.6900999090251,26.6068440945741,162.965177982451,1.73495450807141
"B",118.048507446366,95.8180183785018,31.3724407698307,171.507091890959,1.30695024486283
"B",870.007834245435,100,43.987915407855,179.456193353474,0
"B",130.121273715904,96.5386656386802,32.7333563883056,172.752004307028,1.16972694445528
"B",118.12553395738,95.8228459640706,31.3815574860985,171.515431506672,1.30603099176723
"B",401.085933218843,100,43.987915407855,179.456193353474,0
"B",83.4164547330614,90.6215872075106,26.5638639302391,162.852383477106,1.73836563222498
"B",50.1462244835919,79.4839110480316,19.5768507040316,144.516094798805,2.2928904914478
"B",241.484390764132,99.8378346997286,40.9492115723858,178.75629995567,0.428330082314918
"B",134.783413576901,96.7991984342815,33.2253629083483,173.20207264137,1.12011713941979
"B",119.392725510872,95.9018176278179,31.5306925436356,171.651854428327,1.29099346517565
"B",92.5362123815948,92.8923246019089,27.9883686456507,166.590766222313,1.62530970243042
"B",196.58214324471,99.5924285904421,38.5002744435322,178.027355542578,0.588239365082119
"B",95.8748534841423,93.6680337384819,28.4749952919383,167.867839325798,1.58668854002663
"B",100.699060170065,94.641557621697,29.1507382713547,169.474765281126,1.53096806435573
"B",285.755865842654,99.9430696407699,42.9211366293024,179.210486149201,0.307213764039807
"B",65.4533235727969,85.3141268598792,23.2343277581076,154.114553099449,2.00261453477511
"B",127.028306788175,96.3606196062805,32.3971230607269,172.444431200719,1.20362988912797
"B",133.472024972462,96.7268368229043,33.0887106895127,173.077068532664,1.13389600140217
"B",204.239161695512,99.7331122804272,38.9868903072431,178.304325767921,0.548856532381264
"B",156.730978339107,97.9157295514957,35.3338905055445,175.13087127498,0.907510926396888
"B",82.4762104308992,90.373497760101,26.4082296466136,162.443946415316,1.75071755949685
"B",215.51514744452,99.7667080478125,39.6164182459472,178.44932260601,0.510190708890802
"B",47.9856033916646,78.0839568094987,19.0454147231233,142.25813786022,2.30404561226661
"B",58.3571260391683,82.8026178340264,21.6587794543047,149.979780831267,2.12765805094994
"B",201.707208377665,99.7253137391744,38.8407588156333,178.27066784279,0.557831979082824
"B",253.309650639933,99.8677222039228,41.5092529220182,178.885292205105,0.393932149132119
"B",155.531046169635,97.8588492927914,35.2264742469516,175.032611080009,0.918341879706152
"B",393.735152402947,100,43.987915407855,179.456193353474,0
"B",20.2449186948466,49.2258659467649,9.91461001926789,94.8518063789276,2.13099331125542
"B",359.523003666632,100,43.987915407855,179.456193353474,0
"B",249.078686323142,99.8571921452294,41.3119374070104,178.839845253472,0.406051336234327
"B",136.012520251215,96.8663834340863,33.3522392882556,173.318134194716,1.10732399092602
"B",73.0619358663004,87.720900900113,24.7441725238215,158.076897034867,1.88278558511527
"B",146.532198029607,97.4177468414309,34.3934686302294,174.270610100056,1.00233516954196
"B",276.794561974462,99.9231506562472,42.5478885018266,179.124517290665,0.330138792982659
"B",394.809524578436,100,43.987915407855,179.456193353474,0
"B",72.142867490121,87.4438479652965,24.5703685370469,157.62077651931,1.89657955231961
"B",160.401396177715,98.0870527682326,35.6574280451263,175.426830770647,0.87488811835174
"B",6.91291447887013,21.9878207172353,3.76958057878379,45.2476195094159,1.18469145045295
"B",131.494126605835,96.6163415903379,32.8800445416257,172.886188896343,1.15493614313298
"B",207.332033201867,99.7425083406448,39.1629566060977,178.344878466313,0.538042479476563
"B",157.959351503445,97.9735086854455,35.4430042566946,175.230684269795,0.896508812195677
"B",44.5692022696471,75.6843292757082,18.1629288970379,138.391668520779,2.31836586907936
"B",110.692366205851,95.3418309023569,30.4731783852805,170.684481809458,1.39762431066467
"B",92.9741365993483,92.9956534868047,28.0531900926993,166.760879649488,1.62016514314084
"B",527.587210145327,100,43.987915407855,179.456193353474,0
"B",113.449660373019,95.5239282482796,30.8170624681641,170.999053527688,1.36294992808701
"B",102.77411339077,94.792516631144,29.4358187608789,169.735545770504,1.50222294223116
"B",172.109580517998,98.608469600747,36.6421043913999,176.327574205908,0.775601626055955
"B",880.658734204785,100,43.987915407855,179.456193353474,0
"B",279.867359077643,99.9300525376444,42.6772181021696,179.154305298422,0.322195324247582
"B",46.7422276357281,77.2310013798073,18.7317322593301,140.883788728793,2.30913579423486
"B",363.378493930866,100,43.987915407855,179.456193353474,0
"B",85.6783221979121,91.2071223696697,26.9311884837487,163.816367490549,1.70921288988295
"B",110.731128846639,95.3444221657466,30.4780718900691,170.688958196375,1.39713089074316
"B",538.707453451716,100,43.987915407855,179.456193353474,0
"B",176.601344379165,98.7991461501016,37.0021899817195,176.656966429901,0.739293619547636
