rank,F_oral,Cmax_MIC,AUC_MIC,dose,fitness,Cmax,AUC,Ctrough,fCT,logP,particle_size,surfactant,cosurfactant,oil,pe_conc,polymer,chitosan,enteric,dose_range
38,33.36313694289769,10.060697468914343,33.8648378830182,588.1386218539557,0.6082008594309216,10.060697468914343,33.8648378830182,0.1659541531799849,30.561330561330564,1.500073455133027,50,49.99826934141968,30,20.000001854017295,48.27600713985814,30,1,1,401-700mg
103,34.14345445788511,7.9336485575636555,26.705078483884414,453.193817744988,0.6081818953322538,7.9336485575636555,26.705078483884414,0.1308678544885639,25.779625779625782,1.5019375916318567,50,49.99846207803714,30,20,49.99999999999798,30,1,1,401-700mg
82,32.85124107323734,12.783712207720967,43.03065507271403,758.9685023355364,0.6081794749804753,12.783712207720967,43.03065507271403,0.21087111151654817,36.590436590436596,1.5000614720529464,50.00000000000001,49.9971802916761,30,20.00000001775107,50,30,1,1,701-1000mg
151,32.821432783133616,12.866676594565458,43.30991565456331,764.5878259051821,0.608035502269546,12.866676594565458,43.30991565456331,0.2122396232324004,36.7983367983368,1.4984570753816953,50,49.99752867155341,29.999999999998973,20,50,29.999999999999996,1,1,701-1000mg
154,32.78511670176243,12.931591822165103,43.528454322565544,769.2970851835518,0.6078044234766083,12.931591822165103,43.528454322565544,0.2133105810906683,36.7983367983368,1.5488326927037344,50,49.99211119571679,30,20.00049337042775,50,29.999999999999996,1,1,701-1000mg
171,32.76968725632504,13.004566415688684,43.774113855600916,774.0029936796277,0.6077720760573811,13.004566415688684,43.774113855600916,0.21451444140344678,37.00623700623701,1.500060687216134,50,49.988056555479154,30,20,50,29.999999999999993,1,1,701-1000mg
94,32.730842021695125,13.114202296070616,44.14308760284987,781.4534375902842,0.6075794836780246,13.114202296070616,44.14308760284987,0.21632256538933523,37.21413721413722,1.5000255360295476,50,49.99974587290482,30,20,50,30,1,1,701-1000mg
126,32.685637718783425,13.233398778748317,44.54432354220688,789.646985451413,0.607339192982444,13.233398778748317,44.54432354220688,0.21828882208812544,37.42203742203743,1.49986972977069,50.00000000000001,49.99732826830677,29.999928383461672,20,49.99999999999652,30,1,1,701-1000mg
43,32.66111172316908,13.286531700905876,44.723171666304324,793.4128106010961,0.6071905843294083,13.286531700905876,44.723171666304324,0.21916526472274614,37.62993762993763,1.5293332403037039,50,49.997276571885585,30,20,50,30,1,1,701-1000mg
164,33.94075110505495,7.946479685317748,26.75308717624019,456.7195983557716,0.6071662628702421,7.946479685317748,26.75308717624019,0.13110504599961242,25.987525987525988,1.5000469985717224,50,48.61427430659119,30,20,49.99999999999999,30,1,1,401-700mg
41,32.6205201808363,13.404256577271866,45.119427079048585,801.4386287316069,0.6069843556477311,13.404256577271866,45.119427079048585,0.22110710360582717,37.83783783783784,1.5013450471026852,50.00000000008918,49.999460934798435,30,20.00003173729273,50,29.999999999999993,1,1,701-1000mg
148,32.66977424824067,13.03897118482028,43.889869531002425,778.4231314745948,0.606916247043191,13.03897118482028,43.889869531002425,0.2150816793828915,37.00623700623701,1.3669305326842878,50,49.9973265543301,30,20.000009156275933,49.99999999998983,30,1,1,701-1000mg
192,32.70406424936648,12.805612509563282,43.10437536382517,763.6901778574132,0.6068913342631554,12.805612509563282,43.10437536382517,0.21123237783676577,36.590436590436596,1.4989563385225404,50,49.99669520709847,30,20.000484209004636,49.243352099125055,30,1,1,701-1000mg
76,32.5980092783676,13.436852755992414,45.2293626368035,803.9461423451074,0.6068225587138482,13.436852755992414,45.2293626368035,0.22164592732949434,38.04573804573805,1.5289242380184274,50.00000000008508,49.96277465997198,29.999999999999993,20.00002113979104,49.999999999999275,30,1,1,701-1000mg
36,32.56994864159175,13.533142820027939,45.55327456148244,810.40125373661715,0.6066973844142132,13.533142820027939,45.55327456148244,0.22323317082324604,38.25363825363826,1.4990308990777605,50.00000000008508,49.997824411992596,29.999999999999996,20.000009020282818,49.999999999989846,30,1,1,701-1000mg
25,32.507819045086805,13.678706385578325,46.04323906879011,820.6833290469816,0.6063201102120545,13.678706385578325,46.04323906879011,0.22563423082311718,38.46153846153847,1.5299782853199924,50,49.99952559379736,30,20.000030469448298,50,29.999999999999996,1,1,701-1000mg
28,32.45734200567813,13.814205660966161,46.49934384434623,830.1019796974755,0.6060315351723053,13.814205660966161,46.49934384434623,0.2278693685768228,38.66943866943867,1.5019382587466694,50.000000000000014,49.998339770555695,29.99999998638377,20,50,30,1,1,701-1000mg
122,32.47723559664412,13.549211436746306,45.607361849717115,813.6796830564798,0.605857599886322,13.549211436746306,45.607361849717115,0.22349822459570656,38.25363825363826,1.4085436098003234,51.68951055697432,49.99791330936143,29.999999999999996,20.000022034218908,49.99999999998929,30,1,1,701-1000mg
47,32.40735098671816,13.935270207704102,46.90686138228606,838.6686675317874,0.605722744190831,13.935270207704102,46.90686138228606,0.22986640559635751,39.08523908523909,1.4997388358498402,50.000085082198694,49.99704102423302,29.999999999999996,20.000000005168385,50,30,1,1,701-1000mg
159,32.39640811431278,13.962110065006398,46.99719708796114,840.5676520414374,0.6056549379266053,13.962110065006398,46.99719708796114,0.23030909095884097,39.08523908523909,1.5019358100444453,50,49.998466219776624,30,20.000000005168385,50,30,1,1,701-1000mg
135,32.37199045750414,14.019777623254491,47.19132018194938,844.676281834781,0.6054998345652308,14.019777623254491,47.19132018194938,0.23126039282611344,39.2931392931393,1.5037215103628405,50,49.99665851228117,30,20,50,30,1,1,701-1000mg
166,32.35647603027768,14.056863581031196,47.316153496337435,847.3167507654252,0.6054012665209528,14.056863581031196,47.316153496337435,0.23187213670638382,39.2931392931393,1.500276056213057,50,49.99665851228117,30,20,50,29.999999999999996,1,1,701-1000mg
189,32.3376801831225,14.101388254136614,47.46602531552364,850.4946406291615,0.6052806814296574,14.101388254136614,47.46602531552364,0.23260658117955008,39.2931392931393,1.4995148680000168,50,49.99675736313102,30,20.000000054006186,50,30,1,1,701-1000mg
111,32.318942243679174,14.145683517397204,47.61512223174574,853.660804776877,0.6051596562903628,14.145683517397204,47.61512223174574,0.233337227172158,39.5010395010395,1.500276056213057,50,49.99729255953672,30,20,50,30,1,1,701-1000mg
187,32.31155930322782,14.118857807007746,47.52482546541584,852.2366172803962,0.6050540034624404,14.118857807007746,47.52482546541584,0.232894729157021,39.5010395010395,1.560652091579876,50,49.99729255953672,30,20.000264110898787,50,30,1,1,701-1000mg
8,32.269452210712444,14.257520938715238,47.99160711088228,861.7301245518397,0.6048300615925498,14.257520938715238,47.99160711088228,0.23518219963135467,39.70893970893971,1.489013665124527,50,49.991799045141796,29.999999999999993,20.000006029562623,50,30,1,1,701-1000mg
55,32.22364172873194,14.358568013596676,48.33170271339726,869.0705866987968,0.6045176504556704,14.358568013596676,48.33170271339726,0.2368488195820768,39.91683991683992,1.499631841833413,50.12420859316752,49.997299324804224,30,20,50,29.999999999999996,1,1,701-1000mg
35,32.195032091947986,14.428307800215475,48.56645306396151,874.0677588308495,0.6043289500180621,14.428307800215475,48.56645306396151,0.2379992113360376,40.12474012474013,1.4997949743693781,50.04292814670599,49.99689843005055,29.999999999999996,20,50,30,1,1,701-1000mg
48,33.93383806242424,7.851900210461207,26.42991510112432,451.2948332353378,0.6039839961087687,7.851900210461207,26.42991510112432,0.12951942261736596,25.779625779625782,1.2821618519493692,50,49.996753221391536,30,20,49.99999999999798,30,1,1,401-700mg
95,32.12847714892422,14.569032559191687,49.04017042258429,884.4217305194778,0.60385684376117,14.569032559191687,49.04017042258429,0.2403206686391922,40.33264033264034,1.528244717708683,50,49.99212922807421,29.999999999991775,20,49.99999998306015,29.999999999999996,1,1,701-1000mg
83,32.123639370460374,14.492332198674902,48.781960227988115,879.8974974533922,0.6037145210230308,14.492332198674902,48.781960227988115,0.2390553001730262,40.12474012474013,1.504138450631858,50,49.99727377442951,30,20.000009156275933,49.76557806138405,30,1,1,701-1000mg
117,32.13328332334486,14.372007753644063,48.37693774190514,872.3300784133369,0.6036590883220045,14.372007753644063,48.37693774190514,0.23707049165265162,39.91683991683992,1.4085047135154527,51.68951055697432,49.99791330936143,29.999999999999996,20.000000521271637,49.99999999998929,30,1,1,701-1000mg
5,32.08648215639827,14.672748205979628,49.38924300735358,891.8829081227743,0.6035730721110093,14.672748205979628,49.38924300735358,0.24203127793281023,40.54054054054054,1.5024980986807919,50.000000002954174,49.99838078067309,30,20.00000192646056,50,30,1,1,701-1000mg
30,32.01858402622172,14.81990181129207,49.88457038651594,902.737931443535,0.6030818569247952,14.81990181129207,49.88457038651594,0.24445862289807252,40.95634095634096,1.4989789584490314,50.00000001040623,49.99829113682675,29.99999751241333,20.0000246140491,50,30,1,1,701-1000mg
152,31.988663242759696,14.882995823203467,50.096958741658604,907.429400286449,0.602860566924863,14.882995823203467,50.096958741658604,0.24549943322884638,40.95634095634096,1.5037215103628405,50,49.99665851228117,30,20.000002119938692,50,29.999753114931785,1,1,701-1000mg
162,31.97370340773985,14.915580382753836,50.206629327282,909.8414122407281,0.6027505339871241,14.915580382753836,50.206629327282,0.2460368680568857,41.16424116424117,1.5010239387419557,50.00001700233267,49.99831511735803,30,20,50,30,1,1,701-1000mg
